SPAN 1:	ARIES 1-15: 	THE SPAN OF REALIZATION 
12 (12°)	A FLOCK OF WHITE GEESE FLIES OVERHEAD ACROSS CLEAR SKIES 	A soul as yet socially immature and unadjusted; not come down to full and steady concrete expression. Self-discovery.	When positive, the degree is a completely naive independence or an ever-immediate capacity for rising above any giving involvement in experience, and when negative, thoughtless disinterest in anything of real value to the self.
13 (13°)	A BOMB WHICH FAILED TO EXPLODE IS NOW SAFELY CONCEALED	Intangible fears of nascent selfhood: the creative stirring up of a new perspective and a new identity suddenly revealed.	When positive, the degree is a dramatic rejection of any accomplishment falling at all short of very deep or hallowed purpose, and when negative, a waste of opportunity and a futile expenditure of self through vanity or petulance.
14 (14°)	A SERPENT ENCIRCLES A MAN AND WOMEN IN CLOSE EMBRACE	Power of higher wisdom manifest in the bi-polar nature. Protection by the higher genius of Self. Fulfillment in truth.	When positive, the degree is exceptional self-discipline in the continual acquisition of a very real understanding, and when negative, a surrender to lower or transient impulses in every area of personal experience.
15 (15°)	INDIAN WEAVING A BASKET IN THE GOLDEN LIGHT OF SUNSET	Full and conscious realization of selfhood,through the memory of all the powers acquired in the past. Retentiveness.	When positive, the degree is the quiet persistence of each proper act of self in the interest of its own genius, and when negative, an acceptance of the dull routine of everyday as a species of transient security.
SPAN 2:	ARIES 16-30: 	THE SPAN OF EXAMINATION 
16 (16°)	BRIGHTLY CLAD BROWNIES, DANCING IN WARM DYING LIGHT	Relationship between conscious and unconscious sides of life. Invisible assistance often entailing obligation to outer forces.	When positive, the degree is simple good fortune together with unlimited opportunity as the direct fruitage of effort, and when negative, delusions of adequacy with a complete inability to act in real self-interest.
17 (17°)	TWO PRIM SPINSTERS ARE SITTING TOGETHER IN SILENCE	Poised and dispassionate outlook, involving either great dignity and integrity of self,or inability to live life fully.	When positive, the degree is an utter fidelity to self and all its special idealizations of its own capacities, and when negative, an increasing exaltation of shallow interests and a witless pretense of distinction and great virtue.
18 (18°)	AN EMPTY HAMMOCK IS HANGING BETWEEN TWO LOVELY TREES	Rest after some notable achievement. Capacity for consciousness after the act, for reaping fruits of activity. Detachment.	When positive, the degree is a thoroughgoing integrity established by the inner reconciliation of outer inharmonies, and when negative, inability to comprehend the conflicts of life and a consistent effort to dodge them.
19 (19°)	A MAGIC CARPET HOVERING OVER AN UGLY INDUSTRIAL SUBURB	Capacity to transform everyday life by the power of creative significance; or escape in idle fancy.	When positive, the degree is full realization of the broad endowment which every man may make his own, and when negative, detachment from ordinary living and a scorn for its responsibilities.
20 (20°)	A YOUNG GIRL FEEDING SWANS IN A PARK ON A WINTRY DAY	Participation of self in a life larger than any conception of selfhood. Protection, or the need for it.	When positive, the degree is a naive genius in the administration of both the powers of nature and the potentialities of selfhood, and when negative, an overzealous and wasteful use of the self's resources in an effort to win approval by bread alone.
21 (21°)	A PUGILIST, FLUSHED WITH STRENGTH, ENTERS THE RING	Complete immolation of self in things purely physical. Intense self-assertiveness, physical and psychological.	When positive, the degree is a mobilization of the self's capacities in a concentrated attempt at self-establishment, and when negative, blind rebellion and a willingness to squander every resource on pseudo values.
22 (22°)	GATEWAY OPENING TO THE GARDEN OF ALL DESIRED THINGS	Joy and utter lack of inhibitions in objective life. Self-exaltation or bondage to the craving for happiness.	When positive, the degree is a high quickening to every possibility of individual discovery and experience, and when negative, a tendency to while away the years in contemplating the things which might be claimed for the self rather than making any real effort to gain them.
23 (23°)	WOMAN IN SUMMER DRESS CARRIES A PRECIOUS VEILED BURDEN	First maturity of conscious life in any phase of experience. Sense of value and delicacy- or wastefulness. Innocence.	When positive, the degree is the unimpeachable integrity of the man whose fullness of life becomes a practical contribution to the circumstances in which he dwells, and when negative, a disinclination to participate at all fairly in everyday living.
24 (24°)	A WINDOW CURTAIN BLOWN INWARD, SHAPED AS A CORNUCOPIA	Good fortune attending upon the putting forth of effort. Rush of spiritual forces into the conscious ego. Protection.	When positive, the degree is an irrepressible genius for capturing the richer rewards of life and providing a wider distribution for the higher realities, and when negative, a smug and petty self-importance in dispensing favours to others.
25 (25°)	A DOUBLE PROMISE REVEALS ITS INNER AND OUTER MEANINGS	Fortuitous cooperation between inner and outer elements of being. A sense of responsibility to self or to society.	When positive, the degree is a facility of adjustment by which everything in a given situation may be brought into the fullest co-operation with everything else, and when negative, compromising insincerity and a lean to chicanery in all human relationships.
26 (26°)	A MAN, BURSTING WITH THE WEALTH OF WHAT HE HAS TO GIVE	Supreme endowment, and inexhaustibilty of resources in all possible life realms. Sometimes obsession by potentiality.	When positive, the degree is an uncompromising independence and an inexhaustible drive toward self-discovery, and when negative, an obsession by ideas of no practical worth.
27 (27°)	THROUGH IMAGINATION, A LOST OPPORTUNITY IS REGAINED	Beginning of mental maturity and slow growth of the creative faculty. Revision of attitude. Mental house-cleaning.	When positive, the degree is the self's effective command of itself in any situation brought to immediate issue, and when negative, self-pity as a retreat from reality.
28 (28°)	A CROWD APPLAUDS A MAN WHO SHATTERED A DEAR ILLUSION 	 A new light is shed upon cherished ideas. Fearless,constructive and public facing of the facts of existence. Adjustment.	When positive, the degree is complete spiritual independence, and when negative, a destructive assimilation of the self to every defeat or frustration of human kind.
29 (29°)	A CELESTIAL CHOIR HAS ARISEN TO SING COSMIC HARMONIES	At-one-ment of consciousness with cosmic powers. Harmonic understanding and faith in the order and meaning of life.	When positive, the degree is a gift for the effective articulation or manifestation of those eternal realities through which all people find themselves at one, and when negative, self-deception and an acceptance of every fantasy which will flatter the ego.
30 (30°)	YOUNG DUCKLINGS DISPORT THEMSELVES MERRILY UPON A POND	Essential social cooperativeness and appreciation of selfhood. Also a sense of inner restriction. Contentedness.	When positive, the degree is an accustomed competency or ease in dealing with immediate circumstances, and when negative, a tendency toward provincialism or an acceptance of life with an altogether uncritical complacency.
SPAN 3:	TAURUS 1-15: 	THE SPAN OF EXPERIENCE 
31 (1°)	A CLEAR MOUNTAIN STREAM FLOWS THROUGH A ROCKY DEFILE	Purity, excellence and immediate availability of the strength and power of being. Refreshment. Self-sustainment.	When positive, the degree is high achievement through an unswerving fidelity to some definite course of action, and when negative, a tendency to waste the potentialities of being by aimless self-ramifications.
32 (2°)	AN ELECTRICAL STORM BRILLIANTLY ILLUMINES THE SKIES 	A sensing of the power and wonder of nature's forces. Complete transformation of the implication of all being. Awe.	When positive, the degree is a genius for dramatizing both the values at hand and the potentials ahead, and when negative, unreasoning timidity in all self-expression.
33 (3°)	NATURAL TERRACES LEAD UP TO A LAWN OF CLOVER IN BLOOM	The invitation extended by all nature to man for self-expression. Inspirational possibilities in all experience. Hope.	When positive, the degree is a creative optimism brought to embrace every facet of everyday striving, and when negative, an unwarranted self-indulgence and a disregard of all practical reality through a concern over the phantasmal and impossible.
34 (4°)	THE RAINBOW'S POT OF GOLD GLOWS AMIDST THE SPARKLING RAIN	Unlimited resources. Overflowing sense of power. Prodigality of spiritual love showered upon seekers for the highest.	When positive, the degree is an inner assurance which enables man to hold steady in every course of his choosing, and when negative, a loss of all opportunity through futile expectation and an unintelligent wandering off in the quests of pure fancy.
35 (5°)	A YOUNG WIDOW, TRANSFIGURED BY GRIEF, KNEELS AT A GRAVE	Revelation of meaning behind fleeting appearances. Restless quest for understanding. Birth from illusion into reality.	When positive, the degree is man's genius for personal aplomb or an effective transcendence of disappointment and delay in an ever-spiraling self-discovery, and when negative, surrender to frustration or descentto ineptitude.
36 (6°)	A CANTILEVER BRIDGE IN CONSTRUCTION ACROSS A DEEP CANYON	Conquest of difficulties and limitations by intelligence. Directed effort toward solving a problem. Channel-ship.	When positive, the degree is the directness and the practical instinct by which personality achieves ultimate benefit of its powers, and when negative, a love of short cuts and every possible escape from the obligations of daily living.
37 (7°)	WOMAN OF SAMARIA COMES TO DRAW WATER FROM THE WELL	The gaining of perspective by a return to ancient sources of being. Introspective approach to collective unconscious.	When positive, the degree is absolute and wholly impersonal self-giving in the hope of an honest self-realization, and when negative, a debasing and carefree dissoluteness accepted in compensation for the unattained and more enduring satisfactions.
38 (8°)	A SLEIGH SPEEDS OVER GROUND AS YET UNCOVERED BY SNOW	Independence of the will of the self from outer circumstances. Power to mould life upon the pioneer's prophetic vision.	When positive, the degree is a complete and effective alignment of self with whatever greater possibilities may remain unrealized in a given milieu, and when negative, a cheerful tolerance of today's frustrations in the vague hope of a better tomorrow.
39 (9°)	A CHRISTMAS TREE LOADED WITH GIFTS AND LIGHTED CANDLES 	 A symbol of the promise which outer life offers to the pure in heart; of immortality through giving of self to the race.	When positive, the degree is man's achievement of complete self-satisfaction through a simple sharing of his potentials with his fellows, and when negative, a desire to place people under obligation and to enjoy life's riches without payment in kind.
40 (10°)	A PRETTY RED CROSS NURSE HURRIES ON AN ERRAND OF MERCY	Natural, unrestrained pouring of self in service to one's fellowmen. Self-expression through compassionate understanding.	When positive, the degree is a complete dedication of the self to the worth-while and enduring projects through which it can lose all sense of separativeness, and when negative, a superficial pretense of humanitarianism in order to gain transient importance.
41 (11°)	A WOMAN WATERING ROWS OF FLOWERS IN FULL BLOOM	Man's and nature's creative partnership of service and beauty. Nature's rich response to man's care or lack of care.	When positive, the degree is the high stewardship by which man builds everything around him into an enduring organism for his own fulfillment, and when negative, superficial satisfactions and a wasteful truckling to petty concerns.
42 (12°)	YOUNG COUPLE WALKS DOWN MAIN STREET, WINDOW-SHOPPING	Inner interest in outer life which leads to whole-souled participation and achievement. Self-projection. Estimation	When positive, the degree is high ability in presenting the immediate potentialities of human achievement and the consequent self-realizations, and when negative, self-depreciation and a dismissal of all really desirable things as beyond actual acquisition.
43 (13°)	A PORTER IS CHEERFULLY BALANCING A MOUNTAIN OF BAGGAGE	Joy of effort put forth. Faith in the eventual results of a simple plunging ahead in things. Extreme of self-reliance.	When positive, the degree is an effective self-competence and virility of interest in normal living, and when negative, a dissipation of selfhood and a depreciation of all ambition through the performance of drudgery without protest.
44 (14°)	CHILDREN SPLASH IN RECEDING TIDE AMID GROPING SHELLFISH	Need for a realization of life's unity in the multiplicity of its forms. Unconscious contact with higher stages of being.	When positive, the degree is the integrity of selfhood through its absoluteness of attention to its own business of continuing to be, and when negative, hopeless self-diffusion through unnecessary concern over divergent potentials of experience.
45 (15°)	MAN WITH RAKISH SILK HAT, MUFFLED, BRAVES THE STORM	Supremacy of conscious mind over brute nature forces. Full appreciation of outer difficulties. Great inner resources.	When positive, the degree is a superb aplomb arising from the constant rediscovery of greater powers latent in selfhood, and when negative, marked insensibility to all deeper impulses and complete surrender to superficial self-interest
SPAN 4:	TAURUS 16-30: 	THE SPAN OF ENJOYMENT 
46 (16°)	OLD MAN TRIES HARD TO IMPART HIDDEN TRUTHS TO A CROWD	Conscious possession of greater knowledge and potentiality than can be used. Great inner fullness. Spiritual loneliness.	When positive, the degree is the uncompromising integrity of higher vision and an unshakable determination to dramatize it, and when negative, a failure in accomplishment through a loss of touch with everyday practicality.
47 (17°)	A SYMBOLICAL BATTLE BETWEEN "SWORDS" AND "TORCHES"	Struggle between might an enlightenment, physical desires and higher inspirations. Self-orientation. Divine enthusiasm.	When positive, the degree is high organizational skill and an ability to bring the magic of understanding to any specific difficulty, and when negative, a loss of self-competence through the conflicting compulsions of necessity and desire.
48 (18°)	A WOMAN IS AIRING A LINEN BAG THROUGH A SUNNY WINDOW	Revolt against musty, dark corners of being. Psycho-analysis. Self-dissatisfaction. Strong will for self-transformation.	When positive, the degree is high personal effectiveness in commandeering the elements of experience for any particular purpose, and when negative, dissatisfaction with things as they are and complete ineptness in handling them.
49 (19°)	A NEW CONTINENT, FRESH AND GREEN, RISES OUT OF THE OCEAN	Potentiality for tangible self-manifestation in all beings. Overflowing originality. Spontaneous, rich creative urge.	When positive, the degree is a revolutionary potentiality by which each individual is enabled to remodel the entire face of the universe, and when negative, a genius for futile turmoil and persistent upset.
50 (20°)	WISPS OF CLOUDS,LIKE WINGS,ARE STREAMING ACROSS THE SKY	Exalted state of consciousness; lightness and breadth of being and understanding. Mystical and ecstatic self-expansion.	When positive, the degree is efficiency in controlling events at any point of transition or crisis, and when negative, a diffusion of self and waste of energy in an attempt to grasp the myriad facets of the unessential.
51 (21°)	MOVING FINGER POINTS TO SIGNIFICANT PASSAGES IN A BOOK	Symbol of spiritual discrimination, of capacity for getting to the heart of any matter. Good memory. Perspicacity.	When positive, the degree is a sensitiveness to the enduring significance of each special complex in human affairs, and when negative, a loss of integrity through blind obedience to others and a tendency to do things by rote.
52 (22°)	A WHITE HOMING PIGEON FLIES STRAIGHT OVER STORMY WATERS	Freedom of understanding; strength based on the possession of a real mission. Transcendent activity. Self-extrication.	When positive, the degree is a skillful reconciliation of difficulties in the light of over-all potentials, and when negative, an ineffectiveness of mind through habitual woolgathering.
53 (23°)	A JEWELRY SHOP FILLED WITH THE MOST MAGNIFICENT JEWELS	Abundance of permanent spiritual values; or social display of traditional racial achievements. Profusion of inner gifts.	When positive, the degree is a happy gift for shaping all vision to larger dimensions and directing all aspiration to more than trivial ends, and when negative, a greediness which betrays the soul with trifles.
54 (24°)	INDIAN, HUMAN SCALPS HANGING AT HIS BELT, RIDES PROUDLY	Forceful intrusion of elemental energies in over-conscious selfhood. Return to primal values. Conquest of inhibitions.	When positive, the degree is an unimpeachable control over life through a discipline of the self and its powers, and when negative, a ruthlessness or complete inhumanity in dealing with others.
55 (25°)	VAST PUBLIC PARK DISPLAYS GLORIOUS AND INSPIRING VISTAS	Social strength of collectivities. Power of traditional culture. Faithfulness to established achievements. Immutability.	When positive, the degree is a high devotion to the practical welfare of all people collectively, and when negative, a complete surrender of personality to mass judgments and transient superficialities.
56 (26°)	A SPANISH SERENADER AT THE WINDOW-GRILLE OF HIS BELOVED	Power of well-defined desire which assures success in all life-contacts. Imaginative power that compels manifestation.	When positive, the degree is the continual reassurance by which the will of man coaxes the depths of his soul into his experience, and when negative, futile attempts to control life by empty blandishment.
57 (27°)	A WITHERED OLD SQUAW, SMILING BRIGHTLY, SELLS TRINKETS	Dignified offering of fruits of wisdom to exuberant youth. Patient understanding of destiny; or else meddlesomeness.	When positive, the degree is creative aplomb or the ability of humankind to dramatize itself effectively in even the least of situations, and when negative, a retreat within and an acceptance of the sterilities of life as the manifestation of selfhood.
58 (28°)	MATURE WOMAN REAWAKENED TO ROMANCE ADMIRES HERSELF	New perspective on life, genuine rejuvenation. The compelling charm of mature experience. Rebelliousness of inner hopes.	When positive, the degree is the soul's effective capitalization on its more enduring potentials, and when negative, a tendency to lose heart and accept lesser things when greater ones lie at hand.
59 (29°)	TWO GARRULOUS OLD COBBLERS WORK SEATED ON AN OLD BENCH 	A symbol of discursive reason, the battle of "pros and cons" within the inner being. Analytical, recapitulative judgement.	When positive, the degree is a recognized integrity as an outer sign of exceptional talents, and when negative a willingness to putter the years away at tasks devoid of all personal meaning.
60 (30°)	PEACOCK DISPLAYS ITS PLUMAGE ON LAWN OF OLD ESTATE	Personal magnificence or unconscious splendor. Sure retreat for the solitary soul where it can reveal its inmost glory.	When positive, the degree is a special flair for dramatizing the heritage of the race or for capitalizing on the lessons of history in some special fashion, and when negative, a wholly unrewarded if not destructive self-contemplation.
SPAN 5:	 GEMINI 1-15: 	THE SPAN OF ZEAL 
61 (1°)	GLASS-BOTTOMED BOAT DRIFTS OVER UNDER-SEA WONDERS	Depth of realization in a consciousness constantly in touch with the sources of life. Sensitiveness to collective images.	When positive, the degree is high competence in the estimation of life's potentialities, and when negative, a lack of effective participation in reality because of continual indecisiveness.
62 (2°)	SANTA CLAUS IS FURTIVELY FILLING CHRISTMAS STOCKINGS	The natural beneficence in any normal human heart. Alertness to the wishes of others; the often hidden pride of benefactors.	When positive, the degree is an unusual capacity for bringing man's possessions into a wide acceptance and for heightening every proper joy in worldly goods, and when negative, a childish or clandestine futility in seeking any normal richness of living.
63 (3°)	LOUIS XIV'S COURT IN THE GARDENS OF THE TUILERIES 	A degree of genuine aristocracy and perfection of behaviour. Self-fulfillment in form and tradition. Collective strength.	When positive, the degree is the creative stability which enables each individual to participate in the full gamut of satisfactions developed and cherished by his fellows as well as himself, and when negative, complete selfishness and a joy in lording it over others.
64 (4°)	HOLLY AND MISTLETOE BRING CHRISTMAS SPIRIT TO A HOME	Holiday spirit as an attempt to preserve for individuals the wealth and power of racial background. Social warmth.	When positive, the degree is a gift for fellow participation in every rewarding expression of individuality on all levels of human relationship, and when negative, complete obsession with superficialities.
65 (5°)	A RADICAL MAGAZINE DISPLAYS A SENSATIONAL FRONT PAGE	The compelling power of social propaganda. Exteriorization of emotional sympathy in organized reform. Efficiency.	When positive, the degree is personality in its highly effective capacity for putting its stamp on everything it touches, and when negative, a perverse determination to quarrel with everybody.
66 (6°)	NIGHT WORKMEN DRILL FOR OIL AMIDST NOISE AND CONFUSION	Exaggerated activity in pursuit of material wealth. Capacity to drive oneself in view of future and speculative gains.	When positive, the degree is achievement through an exceptional concentration or specialization of effort, and when negative, long-range or foolish gambling and ill-considered self exploitation.
67 (7°)	AN OLD WELL, FILLED WITH PURE WATER, SHADED BY TREES	Deep and mature relationship between man and the basic life-giving reality of his environment. Inner assurance; poise.	When positive, the degree is absolute self- reliance and uncompromising faithfulness, and when negative, insensibility and ineptness in all human contact.
68 (8°)	AROUND A CLOSED-DOWN FACTORY STRIKERS MILL DEFIANTLY 	A stirring of the collective,unconscious factors of being toward the repolarization of the conscious ego. Idle protest.	When positive, the degree is undeviating self-assertiveness and a refusal to accept any lesser in lieu of a greater, and when negative, a dissatisfaction which surrenders rather than regrasps the self's potential.
69 (9°)	A MEDIEVAL ARCHER, WITH BOW AND ARROWS, READY TO FIGHT	Superiority and ease based upon training. Sure marksmanship. Certain self-direction. Preparedness. Invisible help in trouble.	When positive, the degree is unlimited personal capacity for rising to the issue of the moment on any level of experience, and when negative, querulous overconfidence and quixotic notions.
70 (10°)	AEROPLANE, AFTER A NOSE-DIVE, RIGHTS ITSELF GRACEFULLY	Capacity to plunge into experience without surrendering one's principles or self-control. Self-expansion through sacrifice.	When positive, the degree is the highly advantageous reorientation of self through every issue, and when negative, defeat through disinclination to lift even a finger in decent self-interest.
71 (11°)	NEWLY OPENED LANDS OFFER VIRGIN REALMS OF EXPERIENCE	New vista of concrete, conscious development. renewed and enlarged opportunities. Nature's call for the pioneer spirit.	When positive, the degree is effective mobilization of the self's practical resources for the role it must play in daily living, and when negative, self-delusion through sheer fantasy.
72 (12°)	A BLACK SLAVE-GIRL DEMANDS HER RIGHTS OF HER MISTRESS	The will to rise above racial conditioning and limitations; or a sense of the need to conform to things as they are.	When positive, the degree is a high gift for taking personal advantage of every new situation in experience, and when negative, a joy in pure dissatisfaction.
73 (13°)	WORLD-FAMOUS PIANIST BEGINS TO PLAY TO A HUGE AUDIENCE	Extreme exaltation of social standing. Reaching of climax in selfhood. Ghastly sense of emptiness at the end of the quest.	When positive, the degree is the creative assurance which contributes enduring overtones to human understanding, and when negative, self- defeat through a delight in momentary attention or superficial adulation.
74 (14°)	TWO PEOPLE, LIVING FAR APART, IN TELEPATHIC COMMUNICATION	Conscious mastery of space-time limitations of ordinary existence. Realization of basic realities in all situations.	When positive, the degree is an exceptional capacity for achievement through the more organic relationships of personality in given and pertinent connections, and when negative, attempted accomplishment through innuendo or underhanded means.
75 (15°)	TWO DUTCH CHILDREN ARE STUDYING THEIR LESSONS TOGETHER	Conscious approach to spiritual truth and underlying meanings. Open-mindedness. Clarity of thought along traditional lines.	When positive, the degree is a self-confidence of spirit by which man is able to establish himself advantageously at ease in any possible situation, and when negative, extreme provincialism and inability to communicate ideas of any moment.
SPAN 6:	GEMINI 16-30: 	THE SPAN OF RESTLESSNESS 
76 (16°)	WOMAN AGITATOR MAKES AN IMPASSIONED PLEA TO A CROWD	Rising of the human soul in demand for the recognition by the outer nature of the needs of inner being. Self-assertion.	When positive, the degree is an unswerving determination to expand every potential of being and take part in every possible detail of world-wide reconstruction, and when negative, a bias forever exalting itself.
77 (17°)	HEAD OF YOUTH CHANGES INTO THAT OF A MATURE THINKER	Progression from robust participation in outer things to a realization of deeper realities. Inborn wisdom. Steady growth.	When positive, the degree is the effective orientation of selfhood in an over-all vision, and when negative, a defeat of accomplishment by a senseless clinging to the illusions of youth.
78 (18°)	TWO CHINAMEN CONVERSE IN CHINESE IN AN OCCIDENTAL CROWD	Alienness, but also independence from environment. Conscious self-sustainment in spite of all conditions. Individualization.	When positive, the degree is the effective mobilization of self and others for life's more specialized objectives, and when negative, a thorough dissipation of selfhood through alien relationships.
79 (19°)	LARGE ARCHAIC VOLUME ON DISPLAY IN A MUSEUM'S ARCHIVES	Reserve of collective knowledge and wisdom beyond true individual self-expression. Deference to past experience.	When positive, the degree is a special capacity for the recovery of prior advantages or the effective disentanglement of present involvements, and when negative, a slavish worship of tradition and authority.
80 (20°)	A SELF-SERVICE RESTAURANT DISPLAYS AN ABUNDANCE OF FOOD	Prodigal distribution of life- resources. Inner wealth. Satiation, or discriminative use of natural energies. Rich supply.	When positive, the degree is a fullness of contribution and an effectiveness of requisition in all personal relationships, and when negative, a chronic inability to make decisions or a hopelessly dilettante spirit.
81 (21°)	A LABOUR DEMONSTRATION THRONGS A LARGE CITY SQUARE	The impetuous onsurge of natural instincts within the field of the conscious ego. Blind struggle. Compelling power of fate.	When positive, the degree is a consistent courage in attacking major problems at any cost of minor well-being or inconvenience, and when negative, futile ill-will and bluster.
82 (22°)	DANCING COUPLES CROWD THE BARN IN A HARVEST FESTIVAL	Richness of life in associations based on natural instincts. Warmth of simple living. Normal fulfillment of self.	When positive, the degree is an ability to plunge into major and rewarding experiences without the least self-reservation, and when negative, a dependence on superficialities for self-satisfaction and on petty indulgences for self-assurance.
83 (23°)	THREE FLEDGLINGS LOOK OUT PROUDLY FROM THEIR HIGH NEST	Conscious self-establishment in the soul and its threefold nature. Innate self-confidence. Superiority of real being.	When positive, the degree is an unconditioned creativity exalted to the point of complete freedom from any immediate involvement, and when negative, psychological witlessness and a false sense of release from responsibility.
84 (24°)	CAREFREE CHILDREN SKATE OVER A SMOOTHLY FROZEN POND	Capacity to use every opportunity, even in the hardest of environment, for self-recreation or relaxation. Appreciation.	When positive, the degree is soul-satisfying experiment in the infinitely varying channels of possible self-discovery, and when negative, a tendency to live for the momentary excitement.
85 (25°)	A GARDENER TRIMS BEAUTIFUL PALM TREES WITH UTMOST CARE	Capacity in man to control his environment and the impulses of his most intense nature. Active care for possessions.	When positive, the degree is an exceptional gift for bringing all things to an effective service in some special aspect of over-all achievement, and when negative, an empty display of trivial excellencies.
86 (26°)	FROST-COVERED TREES, LACE-LIKE, AGAINST WINTER SKIES	Creative bestowal of significance upon all things. Transforming power of beauty. Keen appreciation of natural processes.	When positive, the degree is the creative transformation by which older cycles give way to newer ones, and when negative, a reduction of the useless to a total annihilation.
87 (27°)	YOUNG GYPSY EMERGING FROM THE WOODS GAZES AT FAR CITIES	Growth of consciousness from the instinctual to the intellectual. Anticipation and mounting self-confidence. Deep longing.	When positive, the degree is self-release through a joy in the accomplishments of the moment , and when negative, complete disinclination to enter into the ordinary relationships of society.
88 (28°)	BANKRUPTCY GRANTED TO HIM, A MAN LEAVES THE COURT	Release of self from collective pressure impossible to bear. Determination to regather forces for new attempt. Protection.	When positive, the degree is an effective and over-all resourcefulness in even the worst of situations, and when negative, a willingness to dodge every responsibility and betray the very core of self.
89 (29°)	THE FIRST MOCKING BIRD OF SPRING SINGS FROM THE TREE TOP	Recapitulation of past opportunities at the threshold of a new cycle of experience. Realization of new potentialities.	When positive, the degree is consistent stimulation to others in all human affairs, and when negative, annoying self-assertiveness.
90 (30°)	A PARADE OF BATHING BEAUTIES BEFORE LARGE BEACH CROWDS	Use of individual vanity in raising racial standards. Examination of intellectual values for use in the soul life.	When positive, the degree is a special capacity for bringing the familiar desires and interests to an enduring representation of worthiness, and when negative, regression to childish vanities.
SPAN 7:	CANCER 1-15: 	THE SPAN OF EXPANSION 
91 (1°)	SAILOR READY TO HOIST A NEW FLAG TO REPLACE OLD ONE	The nascent desire to align oneself with a larger and more significant life trend. Compelling decision. Repolarization.	When positive, the degree is a gift for highly profitable adjustment in every developing relationship with others, and when negative, vacillation if not complete instability.
92 (2°)	A MAN ON A MAGIC CARPET OBSERVES VAST VISTAS BELOW HIM	Broadening of perspective. Supremacy of intelligence over circumstances. Conscientiousness. Objective self-control.	When positive, the degree is an exceptional spread of comprehension and a continual self-orientation of understanding, and when negative, a flighty transcendence or an impatience with all immediate or down-to-earth considerations.
